,,2016 a 2018,,2019 a 2023,,,
,,Categorias,,Categorias,,,
,,Tipo ,Descrição,Tipo ,Descrição,,
Var. LDE,Var. original,,,,,,
ANO,Ano,,,,,,
TRIMESTRE,Trimestre,1 a 4,Número do trimestre (1 a 4),1 a 4,Número do trimestre (1 a 4),VERDADEIRO,VERDADEIRO
COD_UF,UF,11,Rondônia,11,Rondônia,VERDADEIRO,VERDADEIRO
,,12,Acre,12,Acre,VERDADEIRO,VERDADEIRO
,,13,Amazonas,13,Amazonas,VERDADEIRO,VERDADEIRO
,,14,Roraima,14,Roraima,VERDADEIRO,VERDADEIRO
,,15,Pará,15,Pará,VERDADEIRO,VERDADEIRO
,,16,Amapá,16,Amapá,VERDADEIRO,VERDADEIRO
,,17,Tocantins,17,Tocantins,VERDADEIRO,VERDADEIRO
,,21,Maranhão,21,Maranhão,VERDADEIRO,VERDADEIRO
,,22,Piauí,22,Piauí,VERDADEIRO,VERDADEIRO
,,23,Ceará,23,Ceará,VERDADEIRO,VERDADEIRO
,,24,Rio Grande do Norte,24,Rio Grande do Norte,VERDADEIRO,VERDADEIRO
,,25,Paraíba,25,Paraíba,VERDADEIRO,VERDADEIRO
,,26,Pernambuco,26,Pernambuco,VERDADEIRO,VERDADEIRO
,,27,Alagoas,27,Alagoas,VERDADEIRO,VERDADEIRO
,,28,Sergipe,28,Sergipe,VERDADEIRO,VERDADEIRO
,,29,Bahia,29,Bahia,VERDADEIRO,VERDADEIRO
,,31,Minas Gerais,31,Minas Gerais,VERDADEIRO,VERDADEIRO
,,32,Espírito Santo,32,Espírito Santo,VERDADEIRO,VERDADEIRO
,,33,Rio de Janeiro,33,Rio de Janeiro,VERDADEIRO,VERDADEIRO
,,35,São Paulo,35,São Paulo,VERDADEIRO,VERDADEIRO
,,41,Paraná,41,Paraná,VERDADEIRO,VERDADEIRO
,,42,Santa Catarina,42,Santa Catarina,VERDADEIRO,VERDADEIRO
,,43,Rio Grande do Sul,43,Rio Grande do Sul,VERDADEIRO,VERDADEIRO
,,50,Mato Grosso do Sul,50,Mato Grosso do Sul,VERDADEIRO,VERDADEIRO
,,51,Mato Grosso,51,Mato Grosso,VERDADEIRO,VERDADEIRO
,,52,Goiás,52,Goiás,VERDADEIRO,VERDADEIRO
,,53,Distrito Federal,53,Distrito Federal,VERDADEIRO,VERDADEIRO
