Var.Lab,Rot. Padrão,Coluna temporária,Nome Banco,Tipo de Dado,Novo Rótulo,2016,2017,2018,2019,2022
ANO,Ano,0,ano_ref,SMALLINT,Ano de referência,ANO,ANO,ANO,ANO,ANO
TRIMESTRE,Trimestre,0,trimestre_ref,SMALLINT,Trimestre de referência,TRIMESTRE,TRIMESTRE,TRIMESTRE,TRIMESTRE,TRIMESTRE
COD_UF,UF,0,cod_uf,SMALLINT,Unidade da Federação,COD_UF,COD_UF,COD_UF,COD_UF,COD_UF
COD_CAPITAL,Capital,0,cod_cap,SMALLINT,Município da Capital,COD_CAPITAL,COD_CAPITAL,COD_CAPITAL,COD_CAPITAL,COD_CAPITAL
COD_RM_RIDE,RM_RIDE,0,cod_rm_ride,SMALLINT,Região Metropolitana e Região Administrativa Integrada de Desenvolvimento,COD_RM_RIDE,COD_RM_RIDE,COD_RM_RIDE,COD_RM_RIDE,COD_RM_RIDE
UPA,UPA,0,upa,INT,Unidade Primária de Amostragem (UPA),UPA,UPA,UPA,UPA,UPA
ESTRATO,Estrato,0,estrato,INT,,ESTRATO,ESTRATO,ESTRATO,ESTRATO,ESTRATO
PND2T001N0,V1008,0,n_selecao_domicilio,SMALLINT,Número de seleção do domicílio,PND2T001N0,PND2T001N0,PND2T001N0,PND2T001N0,PND2T001N0
PND2T002N0,V1014,0,painel,SMALLINT,Painel,PND2T002N0,PND2T002N0,PND2T002N0,PND2T002N0,PND2T002N0
PND2T003N0,V1016,0,n_entrevista_domicilio,SMALLINT,Número da entrevista no domicílio,PND2T003N0,PND2T003N0,PND2T003N0,PND2T003N0,PND2T003N0
PND2T004N0,V1022,0,situacao_domicilio,SMALLINT,Situação do domicílio,PND2T004N0,PND2T004N0,PND2T004N0,PND2T004N0,PND2T004N0
PND2T005N0,V1023,0,tipo_de_area,SMALLINT,Tipo de área,PND2T005N0,PND2T005N0,PND2T005N0,PND2T005N0,PND2T005N0
